state,x,y
Andhra Pradesh,-109,-162
Arunachal Pradesh,186,138
Assam,145,92
Bihar,33,74
Chhattisgarh,-58,-23
Goa,-194,-156
Gujarat,-247,23
Haryana,-154,144
Himachal Pradesh,-131,200
Jammu And Kashmir,-164,261
Jharkhand,11,34
Karnataka,-180,-175
Kerala,-162,-267
Madhya Pradesh,-147,14
Maharashtra,-186,-69
Manipur,194,57
Meghalaya,126,68
Mizoram,181,22
Nagaland,210,91
Odisha,4,-42
Punjab,-171,179
Rajasthan,-241,95
Sikkim,87,114
Tamil Nadu,-122,-248
Telangana,-108,-102
Tripura,151,37
Uttarakhand,-91,165
Uttar Pradesh,-97,102
West Bengal,82,16